Year,Rank,Rider,Team,TotalSeconds,GapSeconds
2012,49,PIERRICK FEDRIGO,FDJ-BIGMAT,321446,6159
2012,50,MICHAEL SCHÄR,BMC RACING TEAM,321520,6233
2012,51,SERGIO MIGUEL MOREIRA PAULINHO,TEAM SAXO BANK-TINKOFF BANK,321721,6434
2012,52,YURY TROFIMOV,KATUSHA TEAM,321738,6451
2012,53,JENS VOIGT,RADIOSHACK-NISSAN,321928,6641
2012,54,VLADIMIR KARPETS,MOVISTAR TEAM,321990,6703
2012,55,FABRICE JEANDESBOZ,SAUR-SOJASUN,322035,6748
2012,56,MAXIME BOUET,AG2R LA MONDIALE,322037,6750
2012,57,EDVALD BOASSON-HAGEN,SKY PROCYCLING,322041,6754
2012,58,JOHNNY HOOGERLAND,VACANSOLEIL-DCM,322217,6930
2012,59,MARCUS BURGHARDT,BMC RACING TEAM,322346,7059
2012,60,DAVIDE MALACARNE,TEAM EUROPCAR,322352,7065
2012,61,CHRISTIAN VANDE VELDE,GARMIN-SHARP,322405,7118
2012,62,CYRIL GAUTIER,TEAM EUROPCAR,322422,7135
2012,63,MIKAEL CHEREL,AG2R LA MONDIALE,322480,7193
2012,64,DMITRIY FOFONOV,ASTANA PRO TEAM,322722,7435
2012,65,LUIS LEON SANCHEZ,RABOBANK CYCLING TEAM,322830,7543
2012,66,SÉBASTIEN MINARD,AG2R LA MONDIALE,322879,7592
2012,67,JÉRÉMY ROY,FDJ-BIGMAT,323104,7817
2012,68,MARCO MARCATO,VACANSOLEIL-DCM,323183,7896
2012,69,DRIES DEVENYNS,OMEGA PHARMA-QUICK STEP,323229,7942
2012,70,SIMONE STORTONI,LAMPRE - ISD,323306,8019
2012,71,KEVIN DE WEERT,OMEGA PHARMA-QUICK STEP,323316,8029
2012,72,SYLVESTER SZMYD,LIQUIGAS-CANNONDALE,323462,8175
2012,73,PIETER WEENING,ORICA GREENEDGE,323537,8250
2012,74,CHRISTOPHE RIBLON,AG2R LA MONDIALE,323538,8251
2012,75,JORGE AZANZA SOTO,EUSKALTEL - EUSKADI,323625,8338
2012,76,GUILLAUME LEVARLET,SAUR-SOJASUN,323670,8383
2012,77,YAROSLAV POPOVYCH,RADIOSHACK-NISSAN,323803,8516
2012,78,VASILI KIRYIENKA,MOVISTAR TEAM,323809,8522
2012,79,ANDREY KASHECHKIN,ASTANA PRO TEAM,323876,8589
2012,80,SIMON GERRANS,ORICA GREENEDGE,323962,8675
2012,81,MARCO MARZANO,LAMPRE - ISD,323973,8686
2012,82,ADAM JAMES HANSEN,LOTTO-BELISOL TEAM,324016,8729
2012,83,CHRISTIAN KNEES,SKY PROCYCLING,324090,8803
2012,84,CHRISTOPHE KERN,TEAM EUROPCAR,324228,8941
2012,85,YUKIYA ARASHIRO,TEAM EUROPCAR,324240,8953
2012,86,MATTHIEU LADAGNOUS,FDJ-BIGMAT,324481,9194
2012,87,DANILO HONDO,LAMPRE - ISD,324762,9475
2012,88,RUBEN PEREZ MORENO,EUSKALTEL - EUSKADI,324763,9476
2012,89,MARTIN VELITS,OMEGA PHARMA-QUICK STEP,324934,9647
2012,90,BLEL KADRI,AG2R LA MONDIALE,324961,9674
2012,91,ROMAIN ZINGLE,COFIDIS LE CREDIT EN LIGNE,324991,9704
2012,92,BRICE FEILLU,SAUR-SOJASUN,324997,9710
2012,93,JULIEN SIMON,SAUR-SOJASUN,325251,9964
2012,94,MICHAEL MØRKØV,TEAM SAXO BANK-TINKOFF BANK,325261,9974
2012,95,ARTHUR VICHOT,FDJ-BIGMAT,325298,10011
2012,96,STEPHEN CUMMINGS,BMC RACING TEAM,325310,10023
2012,97,LARS BAK YTTING,LOTTO-BELISOL TEAM,325372,10085
2012,98,STUART O'GRADY,ORICA GREENEDGE,325518,10231
2012,99,KRISTIJAN KOREN,LIQUIGAS-CANNONDALE,325581,10294
2012,100,NICKI SORENSEN,TEAM SAXO BANK-TINKOFF BANK,325678,10391
2012,101,DAVID ZABRISKIE,GARMIN-SHARP,325693,10406
2012,102,RUBEN PLAZA MOLINA,MOVISTAR TEAM,325702,10415
2012,103,FRANCIS DE GREEF,LOTTO-BELISOL TEAM,325719,10432
2012,104,KOEN DE KORT,TEAM ARGOS-SHIMANO,325740,10453
2012,105,JURGEN ROELANDTS,LOTTO-BELISOL TEAM,325791,10504
2012,106,DANIEL OSS,LIQUIGAS-CANNONDALE,325811,10524
2012,107,DAVID MILLAR,GARMIN-SHARP,325811,10524
2012,108,SAMUEL DUMOULIN,COFIDIS LE CREDIT EN LIGNE,325849,10562
2012,109,LUCA PAOLINI,KATUSHA TEAM,325868,10581
2012,110,MANUEL QUINZIATO,BMC RACING TEAM,325874,10587
2012,111,MICHAEL ALBASINI,ORICA GREENEDGE,325927,10640
2012,112,DARYL IMPEY,ORICA GREENEDGE,325936,10649
2012,113,JÉRÔME PINEAU,OMEGA PHARMA-QUICK STEP,325965,10678
2012,114,MATTHIEU SPRICK,TEAM ARGOS-SHIMANO,325982,10695
2012,115,FEDERICO CANUTI,LIQUIGAS-CANNONDALE,326008,10721
2012,116,KRIS BOECKMANS,VACANSOLEIL-DCM,326264,10977
2012,117,MAXIM IGLINSKIY,ASTANA PRO TEAM,326305,11018
2012,118,BADEN COOKE,ORICA GREENEDGE,326357,11070
2012,119,ALESSANDRO VANOTTI,LIQUIGAS-CANNONDALE,326366,11079
2012,120,JOAN HORRACH,KATUSHA TEAM,326474,11187
2012,121,MATTHEW HARLEY GOSS,ORICA GREENEDGE,326502,11215
2012,122,NICK NUYENS,TEAM SAXO BANK-TINKOFF BANK,326596,11309
2012,123,SÉBASTIEN HINAULT,AG2R LA MONDIALE,326624,11337
2012,124,ANDRÉ GREIPEL,LOTTO-BELISOL TEAM,326629,11342
2012,125,GREGORY HENDERSON,LOTTO-BELISOL TEAM,326873,11586
2012,126,BERT GRABSCH,OMEGA PHARMA-QUICK STEP,326873,11586
2012,127,ANTHONY ROUX,FDJ-BIGMAT,327085,11798
2012,128,ANDERS LUND,TEAM SAXO BANK-TINKOFF BANK,327114,11827
2012,129,NICOLAS EDET,COFIDIS LE CREDIT EN LIGNE,327123,11836
2012,130,BORUT BOZIC,ASTANA PRO TEAM,327151,11864
2012,131,LUIS ANGEL MATE MARDONES,COFIDIS LE CREDIT EN LIGNE,327178,11891
2012,132,JEAN MARC MARINO,SAUR-SOJASUN,327187,11900
2012,133,MARCEL SIEBERG,LOTTO-BELISOL TEAM,327263,11976
2012,134,CEDRIC PINEAU,FDJ-BIGMAT,327311,12024
2012,135,PABLO URTASUN PEREZ,EUSKALTEL - EUSKADI,327381,12094
2012,136,ROY CURVERS,TEAM ARGOS-SHIMANO,327511,12224
2012,137,CYRIL LEMOINE,SAUR-SOJASUN,327522,12235
2012,138,JONATHAN CANTWELL,TEAM SAXO BANK-TINKOFF BANK,327595,12308
2012,139,YANN HUGUET,TEAM ARGOS-SHIMANO,327690,12403
2012,140,YOHANN GENE,TEAM EUROPCAR,327705,12418
2012,141,JUAN JOSE HAEDO,TEAM SAXO BANK-TINKOFF BANK,327735,12448
2012,142,PATRICK GRETSCH,TEAM ARGOS-SHIMANO,327756,12469
2012,143,MARK CAVENDISH,SKY PROCYCLING,327803,12516
2012,144,KARSTEN KROON,TEAM SAXO BANK-TINKOFF BANK,327823,12536
2012,145,BRAM TANKINK,RABOBANK CYCLING TEAM,327971,12684
2012,146,ALIAKSANDR KUCHYNSKI,KATUSHA TEAM,328391,13104
2012,147,BERNHARD EISEL,SKY PROCYCLING,328415,13128
2012,148,JOHAN VAN SUMMEREN,GARMIN-SHARP,328488,13201
2012,149,ALBERT TIMMER,TEAM ARGOS-SHIMANO,328524,13237
2012,150,JULIEN FOUCHARD,COFIDIS LE CREDIT EN LIGNE,328638,13351
2012,151,SEBASTIAN LANGEVELD,ORICA GREENEDGE,329099,13812
2012,152,TYLER FARRAR,GARMIN-SHARP,329372,14085
2012,153,JAN GHYSELINCK,COFIDIS LE CREDIT EN LIGNE,329511,14224
2012,154,JIMMY ENGOULVENT,SAUR-SOJASUN,329543,14256
2013,1,CHRIS FROOME,SKY PROCYCLING,302200,0
2013,2,NAIRO QUINTANA,MOVISTAR TEAM,302460,260
2013,3,JOAQUIN RODRIGUEZ OLIVER,KATUSHA TEAM,302504,304
2013,4,ALBERTO CONTADOR,TEAM SAXO-TINKOFF,302587,387
2013,5,ROMAN KREUZIGER,TEAM SAXO-TINKOFF,302647,447
2013,6,BAUKE MOLLEMA,BELKIN PRO CYCLING,302902,702
2013,7,JAKOB FUGLSANG,ASTANA PRO TEAM,302937,737
2013,8,ALEJANDRO VALVERDE,MOVISTAR TEAM,303126,926
2013,9,DANIEL NAVARRO GARCIA,"COFIDIS, SOLUTIONS CREDITS",303152,952
2013,10,ANDREW TALANSKY,GARMIN - SHARP,303259,1059
2013,11,MICHAL KWIATKOWSKI,OMEGA PHARMA-QUICK STEP,303339,1139
2013,12,MIKEL NIEVE ITURRALDE,EUSKALTEL - EUSKADI,303401,1201
2013,13,LAURENS TEN DAM,BELKIN PRO CYCLING,303499,1299
2013,14,MAXIME MONFORT,RADIOSHACK LEOPARD,303618,1418
2013,15,ROMAIN BARDET,AG2R LA MONDIALE,303802,1602
2013,16,MICHAEL ROGERS,TEAM SAXO-TINKOFF,303811,1611
2013,17,DANIEL MORENO FERNANDEZ,KATUSHA TEAM,304154,1954
2013,18,JAN BAKELANTS,RADIOSHACK LEOPARD,304351,2151
2013,19,RICHIE PORTE,SKY PROCYCLING,304581,2381
2013,20,ANDY SCHLECK,RADIOSHACK LEOPARD,304706,2506
2013,21,JOSÉ SERPA,LAMPRE - MERIDA,304908,2708
2013,22,JOHN GADRET,AG2R LA MONDIALE,304960,2760
2013,23,IGOR ANTON HERNANDEZ,EUSKALTEL - EUSKADI,305087,2887
2013,24,PIERRE ROLLAND,TEAM EUROPCAR,305335,3135
2013,25,PETER VELITS,OMEGA PHARMA-QUICK STEP,305440,3240
2013,26,ROBERT GESINK,BELKIN PRO CYCLING,305465,3265
2013,27,RUI COSTA,MOVISTAR TEAM,305474,3274
2013,28,WOUT POELS,VACANSOLEIL-DCM,305593,3393
2013,29,ARNOLD JEANNESSON,FDJ.FR,305626,3426
2013,30,ANDREAS KLÖDEN,RADIOSHACK LEOPARD,305963,3763
2013,31,SYLVAIN CHAVANEL,OMEGA PHARMA-QUICK STEP,306021,3821
2013,32,CYRIL GAUTIER,TEAM EUROPCAR,306562,4362
2013,33,DANIEL MARTIN,GARMIN - SHARP,306588,4388
2013,34,HUBERT DUPONT,AG2R LA MONDIALE,306699,4499
2013,35,STEVE MORABITO,BMC RACING TEAM,307039,4839
2013,36,HAIMAR ZUBELDIA,RADIOSHACK LEOPARD,307262,5062
2013,37,CHRISTOPHE RIBLON,AG2R LA MONDIALE,307477,5277
2013,38,BART DE CLERCQ,LOTTO-BELISOL,307486,5286
2013,39,CADEL EVANS,BMC RACING TEAM,307614,5414
2013,40,NICOLAS ROCHE,TEAM SAXO-TINKOFF,307857,5657
2013,41,TOM DUMOULIN,TEAM ARGOS-SHIMANO,307870,5670
2013,42,MIKEL ASTARLOZA,EUSKALTEL - EUSKADI,307987,5787
2013,43,JESUS ALBERTO HERNANDEZ BLAZQUEZ,TEAM SAXO-TINKOFF,308000,5800
2013,44,ALEXANDRE GENIEZ,FDJ.FR,308086,5886
2013,45,TEJAY VAN GARDEREN,BMC RACING TEAM,308137,5937
2013,46,ALEXIS VUILLERMOZ,SOJASUN,308205,6005
2013,47,RUBEN PLAZA MOLINA,MOVISTAR TEAM,308235,6035
2013,48,EDUARD VORGANOV,KATUSHA TEAM,308361,6161
2013,49,DAVIDE MALACARNE,TEAM EUROPCAR,308490,6290
2013,50,LARS PETTER NORDHAUG,BELKIN PRO CYCLING,308782,6582
2013,51,YURY TROFIMOV,KATUSHA TEAM,308794,6594
2013,52,MAXIME MEDEREL,SOJASUN,308981,6781
2013,53,LAURENT DIDIER,RADIOSHACK LEOPARD,309333,7133
2013,54,ANDREY AMADOR,MOVISTAR TEAM,309339,7139
2013,55,DAMIANO CUNEGO,LAMPRE - MERIDA,309378,7178
2013,56,AMAEL MOINARD,BMC RACING TEAM,309403,7203
2013,57,PRZEMYSLAW NIEMIEC,LAMPRE - MERIDA,309428,7228
2013,58,TONY GALLOPIN,RADIOSHACK LEOPARD,309579,7379
2013,59,PIERRICK FEDRIGO,FDJ.FR,309659,7459
2013,60,THOMAS DANIELSON,GARMIN - SHARP,309728,7528
2013,61,GUILLAUME LEVARLET,"COFIDIS, SOLUTIONS CREDITS",309821,7621
2013,62,PHILIPPE GILBERT,BMC RACING TEAM,309831,7631
2013,63,JÉRÔME COPPEL,"COFIDIS, SOLUTIONS CREDITS",309953,7753
2013,64,BRAM TANKINK,BELKIN PRO CYCLING,310012,7812
2013,65,THOMAS VOECKLER,TEAM EUROPCAR,310168,7968
2013,66,ARTHUR VICHOT,FDJ.FR,310306,8106
2013,67,JENS VOIGT,RADIOSHACK LEOPARD,310309,8109
2013,68,SIMON CLARKE,ORICA GREENEDGE,310614,8414
2013,69,ION IZAGIRRE INSAUSTI,EUSKALTEL - EUSKADI,310692,8492
2013,70,RYDER HESJEDAL,GARMIN - SHARP,310701,8501
2013,71,ALESSANDRO DE MARCHI,CANNONDALE,310791,8591
2013,72,ADAM JAMES HANSEN,LOTTO-BELISOL,310795,8595
2013,73,RUDY MOLARD,"COFIDIS, SOLUTIONS CREDITS",310925,8725
2013,74,DARYL IMPEY,ORICA GREENEDGE,310997,8797
2013,75,SIMON GESCHKE,TEAM ARGOS-SHIMANO,311062,8862
2013,76,MANUELE MORI,LAMPRE - MERIDA,311099,8899
2013,77,PETER KENNAUGH,SKY PROCYCLING,311426,9226
2013,78,JUAN JOSÉ OROZ UGALDE,EUSKALTEL - EUSKADI,311435,9235
2013,79,JOSÉ ROJAS,MOVISTAR TEAM,311445,9245
2013,80,SIMON GERRANS,ORICA GREENEDGE,311476,9276
2013,81,JULIEN EL FARES,SOJASUN,311588,9388
2013,82,PETER SAGAN,CANNONDALE,311731,9531
2013,83,SERGEY LAGUTIN,VACANSOLEIL-DCM,311735,9535
2013,84,FRANCESCO GAVAZZI,ASTANA PRO TEAM,311748,9548
2013,85,MANUEL QUINZIATO,BMC RACING TEAM,311774,9574
2013,86,MICHAEL ALBASINI,ORICA GREENEDGE,311822,9622
2013,87,JULIEN SIMON,SOJASUN,311884,9684
2013,88,LUIS ANGEL MATE MARDONES,"COFIDIS, SOLUTIONS CREDITS",312008,9808
2013,89,ANTHONY DELAPLACE,SOJASUN,312053,9853
2013,90,KANSTANTSIN SIUTSOU,SKY PROCYCLING,312083,9883
2013,91,BRENT BOOKWALTER,BMC RACING TEAM,312105,9905
2013,92,MATTEO TOSATTO,TEAM SAXO-TINKOFF,312259,10059
2013,93,JUAN ANTONIO FLECHA GIANNONI,VACANSOLEIL-DCM,312283,10083
2013,94,MORENO MOSER,CANNONDALE,312607,10407
2013,95,ENRICO GASPAROTTO,ASTANA PRO TEAM,312616,10416
2013,96,THOMAS DE GENDT,VACANSOLEIL-DCM,312621,10421
2013,97,JONATHAN CASTROVIEJO NICOLAS,MOVISTAR TEAM,312621,10421
2013,98,MARCUS BURGHARDT,BMC RACING TEAM,312641,10441
2013,99,YUKIYA ARASHIRO,TEAM EUROPCAR,312693,10493
2013,100,KRISTIJAN KOREN,CANNONDALE,312823,10623
2013,101,JOHNNY HOOGERLAND,VACANSOLEIL-DCM,312879,10679
2013,102,REIN TAARAMÄE,"COFIDIS, SOLUTIONS CREDITS",312949,10749
2013,103,MARKEL IRIZAR ARRANBURU,RADIOSHACK LEOPARD,312979,10779
2013,104,BRICE FEILLU,SOJASUN,312985,10785
2013,105,LARS BOOM,BELKIN PRO CYCLING,313172,10972
2013,106,TONY MARTIN,OMEGA PHARMA-QUICK STEP,313325,11125
2013,107,DANIELE BENNATI,TEAM SAXO-TINKOFF,313355,11155
2013,108,LARS BAK YTTING,LOTTO-BELISOL,313432,11232
2013,109,ALBERTO LOSADA ALGUACIL,KATUSHA TEAM,313446,11246
2013,110,PAVEL BRUTT,KATUSHA TEAM,313587,11387
2013,111,ALAN MARANGONI,CANNONDALE,313601,11401
2013,112,CYRIL LEMOINE,SOJASUN,313698,11498
2013,113,DAVID MILLAR,GARMIN - SHARP,313865,11665
2013,114,MACIEJ BODNAR,CANNONDALE,313915,11715
2013,115,EGOITZ GARCIA ECHEGUIBEL,"COFIDIS, SOLUTIONS CREDITS",313988,11788
2013,116,JEAN MARC MARINO,SOJASUN,313990,11790
2013,117,FABIO SABATINI,CANNONDALE,314120,11920
2013,118,IMANOL ERVITI,MOVISTAR TEAM,314152,11952
2013,119,GATIS SMUKULIS,KATUSHA TEAM,314266,12066
2013,120,RAMUNAS NAVARDAUSKAS,GARMIN - SHARP,314289,12089
2013,121,JOHN DEGENKOLB,TEAM ARGOS-SHIMANO,314403,12203
2013,122,ROMAIN SICARD,EUSKALTEL - EUSKADI,314434,12234
2013,123,DAVID VEILLEUX,TEAM EUROPCAR,314456,12256
2013,124,SÉBASTIEN MINARD,AG2R LA MONDIALE,314468,12268
2013,125,BLEL KADRI,AG2R LA MONDIALE,314637,12437
2013,126,JÉRÉMY ROY,FDJ.FR,314719,12519
2013,127,DAVID LOPEZ GARCIA,SKY PROCYCLING,314727,12527
2013,128,ELIA FAVILLI,LAMPRE - MERIDA,314879,12679
2013,129,ANDRÉ GREIPEL,LOTTO-BELISOL,314927,12727
2013,130,CAMERON MEYER,ORICA GREENEDGE,314934,12734
2013,131,SEP VANMARCKE,BELKIN PRO CYCLING,315073,12873
2013,132,MAARTEN WYNANTS,BELKIN PRO CYCLING,315226,13026
2013,133,MURILO ANTONIO FISCHER,FDJ.FR,315268,13068
2013,134,KÉVIN REZA,TEAM EUROPCAR,315311,13111
2013,135,IAN STANNARD,SKY PROCYCLING,315329,13129
2013,136,SERGIO MIGUEL MOREIRA PAULINHO,TEAM SAXO-TINKOFF,315338,13138
2013,137,DAVIDE CIMOLAI,LAMPRE - MERIDA,315431,13231
2013,138,KOEN DE KORT,TEAM ARGOS-SHIMANO,315455,13255
2013,139,RUBEN PEREZ MORENO,EUSKALTEL - EUSKADI,315595,13395
2013,140,GERAINT THOMAS,SKY PROCYCLING,315614,13414
2013,141,ALIAKSANDR KUCHYNSKI,KATUSHA TEAM,315702,13502
2013,142,MATTEO TRENTIN,OMEGA PHARMA-QUICK STEP,315730,13530
2013,143,SAMUEL DUMOULIN,AG2R LA MONDIALE,315831,13631
2013,144,BOY VAN POPPEL,VACANSOLEIL-DCM,315895,13695
2013,145,ROY CURVERS,TEAM ARGOS-SHIMANO,315910,13710
2013,146,JOHANNES FRÖHLINGER,TEAM ARGOS-SHIMANO,315942,13742
2013,147,ALEXANDER KRISTOFF,KATUSHA TEAM,315990,13790
2013,148,MARK CAVENDISH,OMEGA PHARMA-QUICK STEP,316124,13924
2013,149,NIKI TERPSTRA,OMEGA PHARMA-QUICK STEP,316125,13925
2013,150,THOMAS LEEZER,BELKIN PRO CYCLING,316235,14035
2013,151,JONATHAN HIVERT,SOJASUN,316429,14229
2013,152,MATTHEW HARLEY GOSS,ORICA GREENEDGE,316444,14244
2013,153,GERT STEEGMANS,OMEGA PHARMA-QUICK STEP,316554,14354
2013,154,BRETT DANIEL LANCASTER,ORICA GREENEDGE,316619,14419
2013,155,BRIAN VANDBORG,CANNONDALE,316621,14421
2013,156,JÉRÔME COUSIN,TEAM EUROPCAR,316670,14470
2013,157,ROBERTO FERRARI,LAMPRE - MERIDA,316729,14529
2013,158,YOHANN GENE,TEAM EUROPCAR,316786,14586
2013,159,JÉRÔME PINEAU,OMEGA PHARMA-QUICK STEP,316791,14591
2013,160,JURGEN ROELANDTS,LOTTO-BELISOL,316798,14598
2013,161,STUART O'GRADY,ORICA GREENEDGE,316807,14607
2013,162,GREGORY HENDERSON,LOTTO-BELISOL,316866,14666
2013,163,FREDERIK WILLEMS,LOTTO-BELISOL,316918,14718
2013,164,ALBERT TIMMER,TEAM ARGOS-SHIMANO,317039,14839
2013,165,JUAN JOSÉ LOBATO DEL VALLE,EUSKALTEL - EUSKADI,317079,14879
2013,166,MARCEL KITTEL,TEAM ARGOS-SHIMANO,317208,15008
2013,167,DMITRIY MURAVYEV,ASTANA PRO TEAM,317906,15706
2013,168,ASSAN BAZAYEV,ASTANA PRO TEAM,318092,15892
2013,169,SVEIN TUFT,ORICA GREENEDGE,318275,16075
2014,1,VINCENZO NIBALI,ASTANA PRO TEAM,323946,0
2014,2,JEAN-CHRISTOPHE PÉRAUD,AG2R LA MONDIALE,324403,457
2014,3,THIBAUT PINOT,FDJ.FR,324441,495
2014,4,ALEJANDRO VALVERDE,MOVISTAR TEAM,324526,580
2014,5,TEJAY VAN GARDEREN,BMC RACING TEAM,324630,684
2014,6,ROMAIN BARDET,AG2R LA MONDIALE,324632,686
2014,7,LEOPOLD KONIG,TEAM NETAPP-ENDURA,324818,872
2014,8,HAIMAR ZUBELDIA,TREK FACTORY RACING,325023,1077
2014,9,LAURENS TEN DAM,BELKIN PRO CYCLING,325037,1091
2014,10,BAUKE MOLLEMA,BELKIN PRO CYCLING,325221,1275
2014,11,PIERRE ROLLAND,TEAM EUROPCAR,325333,1387
2014,12,FRANK SCHLECK,TREK FACTORY RACING,325494,1548
2014,13,JURGEN VAN DEN BROECK,LOTTO-BELISOL,325987,2041
2014,14,YURY TROFIMOV,TEAM KATUSHA,326147,2201
2014,15,STEVEN KRUIJSWIJK,BELKIN PRO CYCLING,326241,2295
2014,16,BRICE FEILLU,BRETAGNE - SECHE ENVIRONNEMENT,326585,2639
2014,17,CHRISTOPHER HORNER,LAMPRE - MERIDA,326617,2671
2014,18,MIKEL NIEVE ITURRALDE,TEAM SKY,326737,2791
2014,19,JOHN GADRET,MOVISTAR TEAM,326796,2850
2014,20,TANEL KANGERT,ASTANA PRO TEAM,327077,3131
2014,21,BEN GASTAUER,AG2R LA MONDIALE,327426,3480
2014,22,GERAINT THOMAS,TEAM SKY,327500,3554
2014,23,RICHIE PORTE,TEAM SKY,327614,3668
2014,24,JAN BAKELANTS,OMEGA PHARMA-QUICK STEP,327934,3988
2014,25,CYRIL GAUTIER,TEAM EUROPCAR,328073,4127
2014,26,MICHAEL ROGERS,TINKOFF-SAXO,328619,4673
2014,27,PETER VELITS,BMC RACING TEAM,328724,4778
2014,28,MICHAL KWIATKOWSKI,OMEGA PHARMA-QUICK STEP,328861,4915
2014,29,TONY GALLOPIN,LOTTO-BELISOL,329310,5364
2014,30,ARNOLD JEANNESSON,FDJ.FR,329553,5607
2014,31,LUIS ANGEL MATE MARDONES,"COFIDIS, SOLUTIONS CREDITS",329758,5812
2014,32,MARCEL WYSS,IAM CYCLING,329853,5907
2014,33,TOM DUMOULIN,TEAM GIANT-SHIMANO,330426,6480
2014,34,SYLVAIN CHAVANEL,IAM CYCLING,330439,6493
2014,35,PETER STETINA,BMC RACING TEAM,330702,6756
2014,36,JAKOB FUGLSANG,ASTANA PRO TEAM,330836,6890
2014,37,GIOVANNI VISCONTI,MOVISTAR TEAM,330934,6988
2014,38,GREG VAN AVERMAET,BMC RACING TEAM,330940,6994
2014,39,NICOLAS ROCHE,TINKOFF-SAXO,331071,7125
2014,40,BRAM TANKINK,BELKIN PRO CYCLING,331088,7142
2014,41,ION IZAGIRRE INSAUSTI,MOVISTAR TEAM,331196,7250
2014,42,THOMAS VOECKLER,TEAM EUROPCAR,331664,7718
2014,43,MICHAEL SCHÄR,BMC RACING TEAM,331729,7783
2014,44,RAFAL MAJKA,TINKOFF-SAXO,332219,8273
2014,45,AMAEL MOINARD,BMC RACING TEAM,332299,8353
2014,46,KRISTIJAN ÐURASEK,LAMPRE - MERIDA,332424,8478
2014,47,TONY MARTIN,OMEGA PHARMA-QUICK STEP,332681,8735
2014,48,JOSÉ SERPA,LAMPRE - MERIDA,332892,8946
2014,49,MICHELE SCARPONI,ASTANA PRO TEAM,333046,9100
2014,50,PAUL VOSS,TEAM NETAPP-ENDURA,333114,9168
2014,51,RUDY MOLARD,"COFIDIS, SOLUTIONS CREDITS",333208,9262
2014,52,ALESSANDRO DE MARCHI,CANNONDALE,333240,9294
2014,53,BENJAMIN KING,GARMIN - SHARP,333665,9719
2014,54,JOAQUIM RODRIGUEZ,TEAM KATUSHA,333863,9917
2014,55,MICHAL GOLAS,OMEGA PHARMA-QUICK STEP,334089,10143
2014,56,TOM-JELTE SLAGTER,GARMIN - SHARP,334106,10160
2014,57,JÉRÉMY ROY,FDJ.FR,334114,10168
2014,58,JÉRÔME PINEAU,IAM CYCLING,334252,10306
2014,59,MIKAEL CHEREL,AG2R LA MONDIALE,334266,10320
2014,60,PETER SAGAN,CANNONDALE,334318,10372
2014,61,JESUS HERRADA,MOVISTAR TEAM,334344,10398
2014,62,FLORIAN GUILLOU,BRETAGNE - SECHE ENVIRONNEMENT,334346,10400
2014,63,MARKEL IRIZAR ARRANBURU,TREK FACTORY RACING,334370,10424
2014,64,ADAM JAMES HANSEN,LOTTO-BELISOL,334404,10458
2014,65,YUKIYA ARASHIRO,TEAM EUROPCAR,334473,10527
2014,66,MATTEO MONTAGUTI,AG2R LA MONDIALE,334493,10547
2014,67,JENS KEUKELEIRE,ORICA GREENEDGE,334518,10572
2014,68,BARTOSZ HUZARSKI,TEAM NETAPP-ENDURA,334626,10680
2014,69,DANIEL OSS,BMC RACING TEAM,334667,10721
2014,70,MICHAEL ALBASINI,ORICA GREENEDGE,335097,11151
2014,71,JAN BARTA,TEAM NETAPP-ENDURA,335184,11238
2014,72,TIAGO MACHADO,TEAM NETAPP-ENDURA,335229,11283
2014,73,KÉVIN REZA,TEAM EUROPCAR,335238,11292
2014,74,JOHAN VAN SUMMEREN,GARMIN - SHARP,335266,11320
2014,75,MARTIN ELMIGER,IAM CYCLING,335476,11530
2014,76,MATTHIEU LADAGNOUS,FDJ.FR,335627,11681
2014,77,NICOLAS EDET,"COFIDIS, SOLUTIONS CREDITS",335920,11974
2014,78,ANTHONY DELAPLACE,BRETAGNE - SECHE ENVIRONNEMENT,335994,12048
2014,79,LIEUWE WESTRA,ASTANA PRO TEAM,336010,12064
2014,80,MARCO MARCATO,CANNONDALE,336022,12076
2014,81,IMANOL ERVITI,MOVISTAR TEAM,336114,12168
2014,82,LARS BAK YTTING,LOTTO-BELISOL,336167,12221
2014,83,PERRIG QUEMENEUR,TEAM EUROPCAR,336292,12346
2014,84,BLEL KADRI,AG2R LA MONDIALE,336329,12383
2014,85,SÉBASTIEN REICHENBACH,IAM CYCLING,336418,12472
2014,86,VASILI KIRYIENKA,TEAM SKY,336569,12623
2014,87,NELSON OLIVEIRA,LAMPRE - MERIDA,336582,12636
2014,88,REIN TAARAMÄE,"COFIDIS, SOLUTIONS CREDITS",336847,12901
2014,89,SERGIO MIGUEL MOREIRA PAULINHO,TINKOFF-SAXO,336939,12993
2014,90,SAMUEL DUMOULIN,AG2R LA MONDIALE,337030,13084
2014,91,RUBEN PLAZA MOLINA,MOVISTAR TEAM,337053,13107
2014,92,KOEN DE KORT,TEAM GIANT-SHIMANO,337078,13132
2014,93,MATTEO TRENTIN,OMEGA PHARMA-QUICK STEP,337082,13136
2014,94,NIKI TERPSTRA,OMEGA PHARMA-QUICK STEP,337090,13144
2014,95,ANDREY GRIVKO,ASTANA PRO TEAM,337114,13168
2014,96,DANIELE BENNATI,TINKOFF-SAXO,337192,13246
2014,97,LARS BOOM,BELKIN PRO CYCLING,337230,13284
2014,98,MATTHEW BUSCHE,TREK FACTORY RACING,337264,13318
2014,99,SÉBASTIEN MINARD,AG2R LA MONDIALE,337289,13343
2014,100,GATIS SMUKULIS,TEAM KATUSHA,337351,13405
