Fahrer;Team;Alter Start;Alter Ende;Overall Start;Overall Ende;Entwicklung;Status
Nicolò Birello;Vereinslos / Free Agent;22;23;59.08;62.04;+2.96;Active
Albert Hansgaard Jensen;Vereinslos / Free Agent;19;20;61.29;64.24;+2.95;Active
Maximilian Cushway;Vereinslos / Free Agent;23;24;65.40;68.35;+2.95;Active
Lucas Toftemark;Vereinslos / Free Agent;22;23;64.15;67.10;+2.95;Active
Andrea Sergiampietri;Vereinslos / Free Agent;22;23;62.82;65.76;+2.94;Active
Victor Loulergue;Endura - Vittoria;22;23;67.57;70.51;+2.94;Active
Álvaro García;Vereinslos / Free Agent;22;23;65.09;68.03;+2.94;Active
Erick Gonzalez;Vereinslos / Free Agent;22;23;61.52;64.46;+2.94;Active
Santiago Videla;Vereinslos / Free Agent;22;23;59.78;62.72;+2.94;Active
Presley Evans;Vereinslos / Free Agent;20;21;62.45;65.39;+2.94;Active
Lenin Pareja;Vereinslos / Free Agent;22;23;59.00;61.94;+2.94;Active
Filipe Simas;Vereinslos / Free Agent;22;23;57.21;60.15;+2.94;Active
Tobias Lundberg;Vereinslos / Free Agent;22;23;59.72;62.66;+2.94;Active
Tommaso Colombo;Vereinslos / Free Agent;21;22;60.79;63.73;+2.94;Active
Noah Møller Andersen;Vereinslos / Free Agent;20;21;65.71;68.64;+2.93;Active
Maciej Petryszyn;Vereinslos / Free Agent;23;24;57.51;60.44;+2.93;Active
Diogo Oliveira;Vereinslos / Free Agent;22;23;58.34;61.27;+2.93;Active
Jens De Keersmaeker;Vereinslos / Free Agent;21;22;62.28;65.21;+2.93;Active
Davide Frigo;Vereinslos / Free Agent;20;21;61.75;64.68;+2.93;Active
Baptiste Lecoq;Vereinslos / Free Agent;19;20;62.19;65.12;+2.93;Active
Yostin Villarreal;Vereinslos / Free Agent;21;22;57.46;60.39;+2.93;Active
Anthony Hilligoss;Vereinslos / Free Agent;23;24;61.98;64.91;+2.93;Active
Tommaso Anastasia;Vereinslos / Free Agent;20;21;62.89;65.81;+2.92;Active
Neo Viking;Vereinslos / Free Agent;22;23;59.41;62.33;+2.92;Active
Vincent Bodet;Vereinslos / Free Agent;22;23;65.88;68.79;+2.91;Active
Adrian Gonzalez Mesa;Vereinslos / Free Agent;22;23;61.06;63.97;+2.91;Active
Jesper Stiansen;Vereinslos / Free Agent;22;23;66.13;69.04;+2.91;Active
Luca Travaglia;Vereinslos / Free Agent;20;21;55.58;58.49;+2.91;Active
José Teixeira;Vereinslos / Free Agent;22;23;57.29;60.20;+2.91;Active
Dylan Proctor-Parker;Vereinslos / Free Agent;22;23;63.73;66.63;+2.90;Active
Walter Exequiel Ramos;Vereinslos / Free Agent;22;23;58.86;61.76;+2.90;Active
Renato Favero;Vereinslos / Free Agent;22;23;63.87;66.77;+2.90;Active
Samuel Skladan;Vereinslos / Free Agent;21;22;61.28;64.18;+2.90;Active
Francisco Cordeiro;Vereinslos / Free Agent;23;24;60.03;62.93;+2.90;Active
Marvin Larsen Ringsjø;Vereinslos / Free Agent;22;23;59.14;62.04;+2.90;Active
Alessio Menghini;Vereinslos / Free Agent;22;23;65.49;68.38;+2.89;Active
Mykhailo Basaraba;Vereinslos / Free Agent;22;23;65.50;68.39;+2.89;Active
Henri-Johannes Appelbaum;Vereinslos / Free Agent;22;23;66.18;69.07;+2.89;Active
Otto Schultz Jølving;Vereinslos / Free Agent;20;21;63.19;66.08;+2.89;Active
Filippo Quintavalla;Vereinslos / Free Agent;22;23;61.00;63.88;+2.88;Active
Juan Nicolás Becerra Rivera;Vereinslos / Free Agent;23;24;62.35;65.23;+2.88;Active
Alex Goetham;Vereinslos / Free Agent;24;25;57.63;60.51;+2.88;Active
Louic Boussemaere;Vereinslos / Free Agent;20;21;65.44;68.32;+2.88;Active
Jonas Reibsch;Vereinslos / Free Agent;22;23;63.42;66.30;+2.88;Active
Nikolas Klimavicius;Vereinslos / Free Agent;21;22;60.70;63.58;+2.88;Active
Nicholas Scarpelli;Vereinslos / Free Agent;23;24;59.91;62.79;+2.88;Active
Tommaso Alunni;Vereinslos / Free Agent;21;22;62.30;65.18;+2.88;Active
Corentin Devroute;Volvic - Corratec;23;24;67.49;70.37;+2.88;Active
Joseph Wilson;Vereinslos / Free Agent;22;23;62.64;65.52;+2.88;Active
Martí Mir Recio;Vereinslos / Free Agent;21;22;61.58;64.45;+2.87;Active
Riccardo Perani;Allianz - Giant;23;24;67.13;69.99;+2.86;Active
Clément Sanchez;Patagonia - Fuji;21;22;66.26;69.12;+2.86;Active
Heorhii Chyzhykov;Vereinslos / Free Agent;21;22;63.02;65.88;+2.86;Active
Antoine Basset;Sennheiser - Michelin;21;22;65.80;68.66;+2.86;Active
Jorge García Núñez;Vereinslos / Free Agent;22;23;61.20;64.06;+2.86;Active
André Dutra;Vereinslos / Free Agent;21;22;60.55;63.41;+2.86;Active
Louis Sparfel;Vereinslos / Free Agent;23;24;64.93;67.78;+2.85;Active
Nolan Huysmans;Vereinslos / Free Agent;21;22;63.29;66.14;+2.85;Active
Thor Michielsen;Vereinslos / Free Agent;19;20;63.45;66.30;+2.85;Active
Noel Olsson;Vereinslos / Free Agent;22;23;57.12;59.97;+2.85;Active
Evert Schots;Vereinslos / Free Agent;23;24;56.57;59.41;+2.84;Active
Kacper Peret;Vereinslos / Free Agent;24;25;54.11;56.95;+2.84;Active
Wessel van Keulen;Vereinslos / Free Agent;21;22;58.85;61.69;+2.84;Active
Stan Dens;Vereinslos / Free Agent;22;23;62.98;65.82;+2.84;Active
Davide Quadriglia;Vereinslos / Free Agent;21;22;60.90;63.73;+2.83;Active
Franciszek Matuszewski;Vereinslos / Free Agent;20;21;60.97;63.80;+2.83;Active
William Cooper;Vereinslos / Free Agent;23;24;64.01;66.84;+2.83;Active
Lucas Jowett;Vereinslos / Free Agent;22;23;64.18;67.01;+2.83;Active
Alejandro Merenciano;Vereinslos / Free Agent;22;23;61.04;63.87;+2.83;Active
Tamás Hancz;Vereinslos / Free Agent;21;22;62.68;65.51;+2.83;Active
Ákos Mindszenti;Vereinslos / Free Agent;22;23;61.72;64.55;+2.83;Active
Ashlin Barry;Dassault - Time;19;20;66.48;69.31;+2.83;Active
Richard Rika;Vereinslos / Free Agent;21;22;65.64;68.47;+2.83;Active
Valentin Rossello;Vereinslos / Free Agent;23;24;60.69;63.52;+2.83;Active
Alexander Moreno Vargas;Vereinslos / Free Agent;24;25;60.81;63.64;+2.83;Active
Samuele Mion;Vereinslos / Free Agent;23;24;62.15;64.97;+2.82;Active
Matthias Gusner;Vereinslos / Free Agent;24;25;63.64;66.46;+2.82;Active
Jayden McMullen;Vereinslos / Free Agent;21;22;60.99;63.81;+2.82;Active
Jakob Andreas Svaleng Jakobsen;Vereinslos / Free Agent;22;23;63.45;66.27;+2.82;Active
Aurélien Kayser;Vereinslos / Free Agent;21;22;63.33;66.15;+2.82;Active
Eñaut Urkaregi;Vereinslos / Free Agent;20;21;64.10;66.92;+2.82;Active
Ugo Fabries;Shimano - Tissot;21;22;67.15;69.97;+2.82;Active
Justin de Hart;Vereinslos / Free Agent;22;23;62.69;65.51;+2.82;Active
Håkon Linner Tronsrud;Vereinslos / Free Agent;23;24;55.36;58.18;+2.82;Active
Morgann Francon;Vereinslos / Free Agent;23;24;60.97;63.79;+2.82;Active
Augustus De Groote;Vereinslos / Free Agent;20;21;57.80;60.62;+2.82;Active
Kasper Borremans;Carl Zeiss - Felt;20;21;67.51;70.32;+2.81;Active
Marco Stocker;Vereinslos / Free Agent;22;23;60.45;63.26;+2.81;Active
Lennard Sternsdorff;Vereinslos / Free Agent;22;23;63.36;66.17;+2.81;Active
Leonardo Rossi;Vereinslos / Free Agent;22;23;63.84;66.65;+2.81;Active
Andrea Montagner;Vereinslos / Free Agent;21;22;63.54;66.35;+2.81;Active
Nicolas Coudert;Vereinslos / Free Agent;23;24;61.82;64.63;+2.81;Active
Koshi Narita;Vereinslos / Free Agent;19;20;61.80;64.61;+2.81;Active
Mads Schulz;Vereinslos / Free Agent;21;22;63.75;66.55;+2.80;Active
Yago Aguirre;Vereinslos / Free Agent;22;23;66.41;69.21;+2.80;Active
Tore Troelsen;Spotify - Cervelo;22;23;67.59;70.39;+2.80;Active
Jack Makohon;Vereinslos / Free Agent;21;22;66.09;68.89;+2.80;Active
Alexander Erasmus;Vereinslos / Free Agent;20;21;62.28;65.08;+2.80;Active
Naod Brhane;Vereinslos / Free Agent;22;23;61.96;64.76;+2.80;Active
Danyom Fitsumberhan;Vereinslos / Free Agent;22;23;63.02;65.82;+2.80;Active
Mewael Girmay;Vereinslos / Free Agent;22;23;63.08;65.88;+2.80;Active
Leon Klopcic;Vereinslos / Free Agent;22;23;57.26;60.06;+2.80;Active
Justus van Velzen;Vereinslos / Free Agent;23;24;59.06;61.86;+2.80;Active
Ollie Boarer;Vereinslos / Free Agent;21;22;63.66;66.46;+2.80;Active
Szymon Beben;Vereinslos / Free Agent;21;22;61.32;64.11;+2.79;Active
Jean-Baptiste Declercq;Vereinslos / Free Agent;22;23;62.13;64.92;+2.79;Active
Arnas Bilertas;Vereinslos / Free Agent;19;20;58.85;61.64;+2.79;Active
Bram Danklof;Vereinslos / Free Agent;20;21;64.21;67.00;+2.79;Active
Ignacio Ortega;Vereinslos / Free Agent;21;22;59.30;62.08;+2.78;Active
Márkó Tóth;Vereinslos / Free Agent;21;22;63.68;66.46;+2.78;Active
Colin Savioz;Microsoft - Tacx;23;24;66.77;69.55;+2.78;Active
ygimantas Matuzevicius;Vereinslos / Free Agent;24;25;63.15;65.93;+2.78;Active
Gustav Lovidius;Vereinslos / Free Agent;22;23;61.11;63.89;+2.78;Active
Alex St. Andre;Vereinslos / Free Agent;21;22;58.68;61.45;+2.77;Active
Gabriele Casalini;Vereinslos / Free Agent;22;23;64.19;66.96;+2.77;Active
Simone Galbusera;Vereinslos / Free Agent;21;22;62.52;65.29;+2.77;Active
Kazuhito Okuda;Vereinslos / Free Agent;23;24;60.80;63.57;+2.77;Active
Victor Delbarge;Vereinslos / Free Agent;22;23;60.51;63.28;+2.77;Active
Nicolò Arrighetti;Volvic - Corratec;22;23;67.09;69.85;+2.76;Active
Claudius Wetzel;Vereinslos / Free Agent;23;24;60.47;63.23;+2.76;Active
Marcel Skok;Vereinslos / Free Agent;22;23;61.43;64.19;+2.76;Active
Ian Kutzleb;Vereinslos / Free Agent;24;25;55.75;58.51;+2.76;Active
Ivan Toselli;Vereinslos / Free Agent;21;22;61.38;64.14;+2.76;Active
Linus Törnström;Vereinslos / Free Agent;21;22;58.73;61.49;+2.76;Active
Giulio Giraudo;Vereinslos / Free Agent;22;23;62.04;64.79;+2.75;Active
Miguel Ángel Marín;Vereinslos / Free Agent;21;22;64.21;66.96;+2.75;Active
Charles Marchandise;Vereinslos / Free Agent;23;24;63.60;66.35;+2.75;Active
Iker Gómez Lopez;Vereinslos / Free Agent;21;22;65.81;68.56;+2.75;Active
Fynn Ury;Vereinslos / Free Agent;21;22;59.65;62.40;+2.75;Active
Leonardo Meccia;Vereinslos / Free Agent;21;22;62.45;65.20;+2.75;Active
Marcis Shelton;Vereinslos / Free Agent;23;24;63.20;65.95;+2.75;Active
Daniel Felipe Orjuela;Vereinslos / Free Agent;22;23;61.35;64.10;+2.75;Active
Martti Lenzius;Vereinslos / Free Agent;21;22;61.84;64.58;+2.74;Active
Ben Houlihan;Vereinslos / Free Agent;23;24;63.37;66.11;+2.74;Active
Corneel Vanslembrouck;Vereinslos / Free Agent;20;21;61.84;64.58;+2.74;Active
Ondrej afránek;Vereinslos / Free Agent;21;22;59.13;61.87;+2.74;Active
Oliver Melsom-Johansen;Vereinslos / Free Agent;22;23;58.36;61.10;+2.74;Active
Sondre Elias Skjolden;Vereinslos / Free Agent;21;22;59.76;62.50;+2.74;Active
Harry Hudson;Vereinslos / Free Agent;19;20;62.35;65.09;+2.74;Active
August Birk Hundt;Vereinslos / Free Agent;22;23;60.60;63.33;+2.73;Active
Beñat Garaiar;Vereinslos / Free Agent;23;24;62.61;65.34;+2.73;Active
Gusts Lapins;Vereinslos / Free Agent;21;22;62.98;65.71;+2.73;Active
Alejandro Abril;Vereinslos / Free Agent;22;23;61.71;64.44;+2.73;Active
Estevan Delaunay;Vereinslos / Free Agent;23;24;63.52;66.25;+2.73;Active
Leonardo Consolidani;Vereinslos / Free Agent;21;22;63.56;66.29;+2.73;Active
Henry Hobbs;Vereinslos / Free Agent;20;21;63.60;66.33;+2.73;Active
Oskari Kolehmainen;Vereinslos / Free Agent;24;25;60.72;63.44;+2.72;Active
Philippe Jacob;Vereinslos / Free Agent;23;24;65.05;67.77;+2.72;Active
Lenn De Roovere;Vereinslos / Free Agent;20;21;60.70;63.42;+2.72;Active
Xander Verhagen;Vereinslos / Free Agent;23;24;61.30;64.02;+2.72;Active
Mauro Brenner;Vereinslos / Free Agent;22;23;65.10;67.81;+2.71;Active
Dominik Wróbel;Vereinslos / Free Agent;21;22;58.99;61.70;+2.71;Active
Angus Stoneham;Vereinslos / Free Agent;22;23;62.91;65.62;+2.71;Active
Axel Bouquet;Vereinslos / Free Agent;21;22;64.88;67.59;+2.71;Active
Vittorio Friggi;Vereinslos / Free Agent;21;22;60.37;63.08;+2.71;Active
Habte Naod Araya;Vereinslos / Free Agent;22;23;55.47;58.17;+2.70;Active
Melvin Crommelinck;Haribo - Specialized;22;23;66.83;69.53;+2.70;Active
Lucas Towers;Vereinslos / Free Agent;23;24;64.73;67.43;+2.70;Active
Aubin Sparfel;Orange - Ridley;21;22;69.62;72.32;+2.70;Active
Benedek Berencsi;Vereinslos / Free Agent;19;20;60.91;63.61;+2.70;Active
Lachlan McNabb;Vereinslos / Free Agent;21;22;63.57;66.27;+2.70;Active
Alfredo Vencis;Vereinslos / Free Agent;21;22;58.23;60.92;+2.69;Active
Eddie Willis;Vereinslos / Free Agent;21;22;61.93;64.62;+2.69;Active
Raphaël Hector;Vereinslos / Free Agent;22;23;62.79;65.48;+2.69;Active
Edgard Berthelemy;Vereinslos / Free Agent;20;21;62.80;65.49;+2.69;Active
Jules Hue;Vereinslos / Free Agent;21;22;61.79;64.48;+2.69;Active
Lucas Henao;Vereinslos / Free Agent;21;22;56.18;58.87;+2.69;Active
Frederik Sørensen;Vereinslos / Free Agent;23;24;53.47;56.16;+2.69;Active
Seppe Leman;Vereinslos / Free Agent;21;22;63.24;65.93;+2.69;Active
Charlie Hegan;Vereinslos / Free Agent;21;22;60.32;63.01;+2.69;Active
Jan Rehor;Vereinslos / Free Agent;22;23;60.17;62.86;+2.69;Active
Cisse Duts;Vereinslos / Free Agent;21;22;59.14;61.83;+2.69;Active
Toon De Zutter;Vereinslos / Free Agent;20;21;60.07;62.76;+2.69;Active
Antoine L'Hôte;Oatly - Shimano;22;23;68.33;71.01;+2.68;Active
José Maria Alcocer;Vereinslos / Free Agent;22;23;58.37;61.05;+2.68;Active
Seppe Geerinck;Vereinslos / Free Agent;21;22;62.84;65.52;+2.68;Active
Juan Sebastian Peña;Vereinslos / Free Agent;21;22;62.67;65.34;+2.67;Active
Theo Hauser;Vereinslos / Free Agent;23;24;61.95;64.62;+2.67;Active
Benedikt Benz;Vereinslos / Free Agent;20;21;64.97;67.64;+2.67;Active
Nikolai Acimovic;Vereinslos / Free Agent;20;21;59.63;62.30;+2.67;Active
Max Bock;Vereinslos / Free Agent;22;23;65.03;67.70;+2.67;Active
Dawid Lewandowski;Vereinslos / Free Agent;21;22;66.12;68.79;+2.67;Active
Thibault Ayache;Vereinslos / Free Agent;21;22;64.40;67.07;+2.67;Active
Art Aitken;Vereinslos / Free Agent;21;22;59.90;62.57;+2.67;Active
Serhii Sydor;Vereinslos / Free Agent;24;25;64.45;67.12;+2.67;Active
Yoan Morin;Vereinslos / Free Agent;22;23;64.08;66.75;+2.67;Active
Joaquin Medina;Vereinslos / Free Agent;20;21;61.01;63.68;+2.67;Active
Mattie Dodd;Vereinslos / Free Agent;22;23;65.09;67.75;+2.66;Active
Aimar Marín;Vereinslos / Free Agent;20;21;62.27;64.93;+2.66;Active
Daniil Yakovlev;Vereinslos / Free Agent;22;23;63.57;66.23;+2.66;Active
Alberto Cavallaro;Vereinslos / Free Agent;22;23;60.97;63.63;+2.66;Active
Nikolaj Ankerstjerne Klausen;Vereinslos / Free Agent;20;21;61.46;64.12;+2.66;Active
Jort Dockx;Vereinslos / Free Agent;20;21;61.30;63.96;+2.66;Active
Martin Bárta;Vereinslos / Free Agent;22;23;64.71;67.36;+2.65;Active
Francesco Vecchiutti;Vereinslos / Free Agent;22;23;61.20;63.85;+2.65;Active
Guillaume Van Vlaenderen;Vereinslos / Free Agent;23;24;60.76;63.41;+2.65;Active
Alejandro Che;Vereinslos / Free Agent;21;22;61.45;64.10;+2.65;Active
Manolo Wrolich;Vereinslos / Free Agent;21;22;61.68;64.33;+2.65;Active
Zak Machin;Vereinslos / Free Agent;21;22;62.26;64.91;+2.65;Active
Jules Simon;Vereinslos / Free Agent;21;22;62.45;65.10;+2.65;Active
Noah Streif;Vereinslos / Free Agent;21;22;65.56;68.21;+2.65;Active
Arthur Alexandre;Vereinslos / Free Agent;20;21;62.82;65.47;+2.65;Active
Hugo Duclos-Lassalle;Vereinslos / Free Agent;20;21;61.61;64.26;+2.65;Active
Gabin Cler;Vereinslos / Free Agent;22;23;64.42;67.07;+2.65;Active
Alejandro Pita Hidrobo;Vereinslos / Free Agent;22;23;62.65;65.30;+2.65;Active
Hugo Kars;Vereinslos / Free Agent;25;26;63.31;65.95;+2.64;Active
Paul Fietzke;Bosch - Deuter;21;22;65.98;68.62;+2.64;Active
Daniel Weis;Vereinslos / Free Agent;21;22;64.72;67.36;+2.64;Active
Quinten De Buysser;Vereinslos / Free Agent;22;23;62.77;65.41;+2.64;Active
Jan Tisaj;Vereinslos / Free Agent;22;23;60.42;63.06;+2.64;Active
Clément Argeles;Vereinslos / Free Agent;20;21;62.38;65.02;+2.64;Active
Yevhen Testsov;Vereinslos / Free Agent;21;22;61.24;63.88;+2.64;Active
Luca Maggia;Vereinslos / Free Agent;22;23;56.67;59.30;+2.63;Active
Primo Kirbi;Vereinslos / Free Agent;22;23;60.71;63.34;+2.63;Active
Luca Rinaldi;Vereinslos / Free Agent;22;23;59.25;61.88;+2.63;Active
Facundo Ambrossi;Vereinslos / Free Agent;20;21;63.04;65.67;+2.63;Active
Jens Verbrugghe;Vereinslos / Free Agent;22;23;66.76;69.39;+2.63;Active
Steijn Oosterveld;Vereinslos / Free Agent;21;22;60.96;63.59;+2.63;Active
Frederik Bjørn Sørensen;Vereinslos / Free Agent;24;25;64.39;67.01;+2.62;Active
Alexandre Kess;Nintendo - Colnago;23;24;68.12;70.74;+2.62;Active
Mathis Baron;Vereinslos / Free Agent;22;23;63.47;66.09;+2.62;Active
Sebastián Pinilla;Vereinslos / Free Agent;22;23;65.47;68.09;+2.62;Active
Unai Ramos;Vereinslos / Free Agent;21;22;64.66;67.28;+2.62;Active
Linus Scheitinger;Vereinslos / Free Agent;22;23;61.51;64.13;+2.62;Active
Hugh Sessini;Vereinslos / Free Agent;22;23;62.34;64.96;+2.62;Active
Kacper Krupa;Vereinslos / Free Agent;22;23;56.76;59.38;+2.62;Active
Luca Oberlechner;Vereinslos / Free Agent;23;24;62.03;64.64;+2.61;Active
Afonso Lopes;Vereinslos / Free Agent;23;24;61.33;63.94;+2.61;Active
Rui Udagawa;Vereinslos / Free Agent;24;25;63.45;66.06;+2.61;Active
Marcelo Garza;Vereinslos / Free Agent;20;21;58.83;61.44;+2.61;Active
Gaëtan Verleyen;Vereinslos / Free Agent;24;25;64.80;67.40;+2.60;Active
Diogo Sousa;Vereinslos / Free Agent;22;23;58.15;60.75;+2.60;Active
Dorian Lagrave;Vereinslos / Free Agent;22;23;62.52;65.12;+2.60;Active
Aless De Bock;Vereinslos / Free Agent;21;22;65.67;68.27;+2.60;Active
Pablo Jaray;Vereinslos / Free Agent;22;23;60.59;63.19;+2.60;Active
Yonatan Kidane;Vereinslos / Free Agent;25;26;56.87;59.47;+2.60;Active
Kevin Roa;Vereinslos / Free Agent;21;22;60.58;63.17;+2.59;Active
Yoel Habteab;Lavazza - Pirelli;23;24;68.10;70.69;+2.59;Active
Daniel Mlejnek;Vereinslos / Free Agent;23;24;62.66;65.25;+2.59;Active
Kade Kreikemeier;Vereinslos / Free Agent;23;24;65.17;67.76;+2.59;Active
Santiago Basso;Vereinslos / Free Agent;21;22;62.74;65.33;+2.59;Active
Luka Radmanovic;Vereinslos / Free Agent;23;24;55.03;57.62;+2.59;Active
Yannick Van Gils;Vereinslos / Free Agent;23;24;63.26;65.85;+2.59;Active
Jasper Schröder;Vereinslos / Free Agent;22;23;62.99;65.57;+2.58;Active
Mads Leander Fredriksen;Vereinslos / Free Agent;24;25;61.87;64.45;+2.58;Active
Alessandro Pellegrini;Vereinslos / Free Agent;23;24;63.50;66.08;+2.58;Active
José Miguel Moreira;Vereinslos / Free Agent;21;22;61.49;64.07;+2.58;Active
Marius Hobolth;Vereinslos / Free Agent;21;22;62.02;64.60;+2.58;Active
Ramiro Engel;Vereinslos / Free Agent;23;24;57.49;60.07;+2.58;Active
Kazuki Okazaki;Vereinslos / Free Agent;21;22;57.48;60.06;+2.58;Active
Warre Van den Meerssche;Vereinslos / Free Agent;22;23;63.71;66.29;+2.58;Active
Raúl Martín;Vereinslos / Free Agent;20;21;62.60;65.18;+2.58;Active
Dylan Bibic;Vereinslos / Free Agent;23;24;61.52;64.10;+2.58;Active
Maciej Banaszak;Vereinslos / Free Agent;21;22;64.29;66.87;+2.58;Active
Jakob Purtscheller;Vereinslos / Free Agent;22;23;63.14;65.71;+2.57;Active
Matyá Koblíek;Vereinslos / Free Agent;23;24;62.26;64.83;+2.57;Active
Samuel Florez;Ortlieb - Sony;21;22;66.47;69.03;+2.56;Active
Lucas Rask Winther;Vereinslos / Free Agent;20;21;61.04;63.60;+2.56;Active
Keisuke Yoshikawa;Vereinslos / Free Agent;24;25;58.93;61.49;+2.56;Active
Pietro Mattio;Spotify - Cervelo;23;24;70.11;72.67;+2.56;Active
Rodrigo Gabriel Roberto;Vereinslos / Free Agent;22;23;58.24;60.79;+2.55;Active
Magnus Carstensen;Vereinslos / Free Agent;21;22;62.86;65.41;+2.55;Active
Tiago Carmo;Vereinslos / Free Agent;21;22;58.08;60.63;+2.55;Active
Killian O'Brien;Vereinslos / Free Agent;21;22;62.45;65.00;+2.55;Active
Nolan Church;Vereinslos / Free Agent;21;22;62.30;64.85;+2.55;Active
Alexander Scopinich-Burgel;Vereinslos / Free Agent;21;22;61.89;64.44;+2.55;Active
Brayann Barguil;Vereinslos / Free Agent;21;22;60.91;63.45;+2.54;Active
Carter Guichard;Vereinslos / Free Agent;20;21;62.36;64.90;+2.54;Active
Juan David Alzate;Vereinslos / Free Agent;24;25;63.11;65.65;+2.54;Active
Alexander Czepl;Vereinslos / Free Agent;21;22;55.58;58.12;+2.54;Active
Hugo de la Calle;Dassault - Time;22;23;69.79;72.33;+2.54;Active
Jose Ortega;Vereinslos / Free Agent;22;23;58.72;61.26;+2.54;Active
Jaka poljar;Vereinslos / Free Agent;24;25;64.00;66.53;+2.53;Active
Stef Koning;Vereinslos / Free Agent;23;24;65.81;68.34;+2.53;Active
Radovan tec;Vereinslos / Free Agent;23;24;55.95;58.48;+2.53;Active
Dylan Eather;Vereinslos / Free Agent;24;25;56.88;59.41;+2.53;Active
Elliot Robertson;Vereinslos / Free Agent;22;23;61.04;63.57;+2.53;Active
Ronald Leiton;Vereinslos / Free Agent;22;23;63.15;65.68;+2.53;Active
Sebastian Bjørnseth;Vereinslos / Free Agent;23;24;59.79;62.32;+2.53;Active
Johan Chardon;Vereinslos / Free Agent;21;22;62.78;65.30;+2.52;Active
Seth Dunwoody;SMA Solar - Bell;21;22;66.87;69.39;+2.52;Active
Heorhii Antonenko;Vereinslos / Free Agent;22;23;62.02;64.54;+2.52;Active
Marcel Gladek;Vereinslos / Free Agent;21;22;63.95;66.47;+2.52;Active
Guillem Bel;Vereinslos / Free Agent;23;24;62.29;64.81;+2.52;Active
Aksel Laforce;Vereinslos / Free Agent;21;22;62.57;65.09;+2.52;Active
Finn McHenry;Vereinslos / Free Agent;22;23;59.40;61.92;+2.52;Active
Juan David Sierra;Vereinslos / Free Agent;22;23;65.79;68.31;+2.52;Active
Mathis Begin;Vereinslos / Free Agent;22;23;58.74;61.26;+2.52;Active
Eric Stipic;Vereinslos / Free Agent;22;23;56.20;58.72;+2.52;Active
Simon Oppel;Vereinslos / Free Agent;23;24;57.58;60.10;+2.52;Active
Estiven Cañas;Vereinslos / Free Agent;24;25;63.33;65.85;+2.52;Active
Jean Bosco Mushinzimana;Vereinslos / Free Agent;23;24;61.65;64.16;+2.51;Active
Antonio Spada;Vereinslos / Free Agent;24;25;58.00;60.51;+2.51;Active
Hugo Tapiz;Vereinslos / Free Agent;21;22;64.13;66.64;+2.51;Active
Danylo Chernomortsev;Vereinslos / Free Agent;21;22;62.62;65.13;+2.51;Active
Joost Brinkman;Vereinslos / Free Agent;23;24;64.34;66.85;+2.51;Active
Robbe Geudens;Vereinslos / Free Agent;23;24;63.08;65.59;+2.51;Active
Satoaki Nagashima;Vereinslos / Free Agent;21;22;60.07;62.57;+2.50;Active
Tobias Kool;Vereinslos / Free Agent;22;23;59.70;62.20;+2.50;Active
Vos Coleman;Vereinslos / Free Agent;19;20;61.85;64.35;+2.50;Active
Tomá evecka;Vereinslos / Free Agent;24;25;57.99;60.49;+2.50;Active
Keito Kamiya;Vereinslos / Free Agent;20;21;59.01;61.51;+2.50;Active
Krytof Král;Vereinslos / Free Agent;21;22;64.59;67.08;+2.49;Active
Filippo Omati;Vereinslos / Free Agent;22;23;63.92;66.41;+2.49;Active
Dominykas Burka;Vereinslos / Free Agent;22;23;57.47;59.96;+2.49;Active
Ethan Dunham;Vereinslos / Free Agent;24;25;62.34;64.83;+2.49;Active
Marek Majdanics;Vereinslos / Free Agent;22;23;59.85;62.33;+2.48;Active
Ulrik Tvedt;VW - Continental - Rose;24;25;66.99;69.47;+2.48;Active
Bjoern Koerdt;Danone - Fizik;22;23;69.82;72.30;+2.48;Active
Mats Poot;Vereinslos / Free Agent;22;23;61.32;63.80;+2.48;Active
Gabriele De Fabritiis;Vereinslos / Free Agent;22;23;61.38;63.86;+2.48;Active
Hebron Berhane;Vereinslos / Free Agent;23;24;62.02;64.50;+2.48;Active
Filipe Duarte;Vereinslos / Free Agent;21;22;58.65;61.12;+2.47;Active
Luca Verrando;Vereinslos / Free Agent;22;23;62.79;65.26;+2.47;Active
Jan Gadera;Vereinslos / Free Agent;22;23;60.86;63.33;+2.47;Active
Mattia Di Felice;Vereinslos / Free Agent;22;23;60.82;63.29;+2.47;Active
Ryan Britten;Vereinslos / Free Agent;23;24;61.16;63.63;+2.47;Active
Patrick Casey;Vereinslos / Free Agent;21;22;64.02;66.49;+2.47;Active
Milan Donie;Samsung - Cube;22;23;68.36;70.83;+2.47;Active
Matthijs De Clercq;Vereinslos / Free Agent;21;22;64.67;67.14;+2.47;Active
Warren Moolman;Vereinslos / Free Agent;23;24;63.04;65.51;+2.47;Active
Lucca Bennetzen;Vereinslos / Free Agent;20;21;60.64;63.11;+2.47;Active
Jean-Pierre Niringiyimana;Vereinslos / Free Agent;23;24;62.40;64.87;+2.47;Active
Samuele Massolin;Vereinslos / Free Agent;20;21;59.96;62.43;+2.47;Active
Cristián Damian Vélez;Vereinslos / Free Agent;22;23;65.36;67.82;+2.46;Active
Milan Van Den Haute;Vereinslos / Free Agent;21;22;62.55;65.01;+2.46;Active
Baptiste Grégoire;Vereinslos / Free Agent;21;22;65.29;67.74;+2.45;Active
